Colby Covington,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/0b2f6b55-7a5d-49f1-9bc3-7076406d904f%252FCOVINGTON_COLBY_L_11-06.png?itok=9qVDWt-k,35,72,71,170,fighter
Leon Edwards,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/EDWARDS_LEON_L_BELT_03-18.png?itok=WPUJraam,31,74,72,170,fighter
Khamzat Chimaev,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-11/71660%252Fprofile-galery%252Ffullbodyleft-picture%252FCHIMAEV_KHAMZAT_L_10-30.png?itok=V9OsChbC,29,75,74,178.5,fighter
Gilbert Burns,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/BURNS_GILBERT_L_04-08.png?itok=WqMk-ODF,36,71,70,171,fighter
Belal Muhammad,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-05/MUHAMMAD_BELAL_L_05-06.png?itok=eyA31vTW,34,72,71,170,fighter
Vicente Luque,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-08/LUQUE_VICENTE_L_08-12.png?itok=-i8RmiWO,31,75.5,71,170.5,fighter
Stephen Thompson,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/THOMPSON_STEPHEN_L_07-29.png?itok=y7fotUk2,40,75,72,170.5,fighter
Jorge Masvidal,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/MASVIDAL_JORGE_L_04-08.png?itok=e6d7F5uq,38,74,71,171,fighter
Sean Brady,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-11/69577%252Fprofile-galery%252Ffullbodyleft-picture%252FBRADY_SEAN_L_11-20.png?itok=DRPjhf3T,30,72,70,171,fighter
Neil Magny,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/MAGNY_NEIL_L_06-24.png?itok=tXrZ7OcK,35,80,75,183.8,fighter
Shavkat Rakhmonov,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/ec3d59eb-2f08-4a5c-ba06-164d05bb478f%252FRAKHMONOV_SHAVKHAT_L_06-25.png?itok=EpEszo7w,28,77,73,171,fighter
Michael Chiesa,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/CHIESA_MICHAEL_L_07-29.png?itok=oTPOkMgQ,35,75.5,73,170,fighter
Michel Pereira,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/PEREIRA_MICHEL_L_07-10.png?itok=NgqUUYNu,30,73,73,185,fighter
Geoff Neal,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/NEAL_GEOFF_L_03-05.png?itok=Q8rep4sU,32,75,71,175,fighter
Li Jingliang,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-09/JINGLIANG_LI_L_09-10.png?itok=gQI9vwTA,35,71.5,72,170.5,fighter
Santiago Ponzinibbio,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/4dccdd43-d776-4fe8-983e-4de7416730ed%252FPONZINIBBIO_SANTIAGO_L_05-21.png?itok=eeQH_kXG,36,73,72,171,fighter
Islam Makhachev,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-10/MAKHACHEV_ISLAM_BELT_L_10-21.png?itok=glu3eHJa,31,70.5,70,171,fighter
Charles Oliveira,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/OLIVEIRA_CHARLES_L_06-10.png?itok=vKMJlOYL,33,74,70,154,fighter
Justin Gaethje,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/GAETHJE_JUSTIN_L_03-18.png?itok=23gwmVX2,34,70,71,156,fighter
Dustin Poirier,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/POIRIER_DUSTIN_L_07-29.png?itok=HpnsG2Hi,34,72,69,155,fighter
Beneil Dariush,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/DARIUSH_BENEIL_L_10-22.png?itok=Lmru8PRG,34,72,70,156,fighter
Michael Chandler,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-05/1dd9466e-5d52-4a1d-8af9-201e9af35e6a%252FCHANDLER_MICHAEL_L_05-07.png?itok=SGvqtEC7,37,71.5,68,155.8,fighter
Rafael Fiziev,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/FIZIEV_RAFAEL_L_09-23.png?itok=fSJRobEw,30,71.5,68,169,fighter
Mateusz Gamrot,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/GAMROT_MATEUSZ_L_03-05.png?itok=RkCt6_Ak,32,70.5,70,168,fighter
Rafael Dos Anjos,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/DOS_ANJOS_RAFAEL_L_12-03.png?itok=sHYXF1d1,38,70,68,170,fighter
Tony Ferguson,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/FERGUSON_TONY_L_07-29.png?itok=4kuy1_wN,39,76.5,71,155,fighter
Arman Tsarukyan,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/TSARUKYAN_ARMAN_L_06-17.png?itok=wApSEIi_,26,72.5,67,155.5,fighter
Conor McGregor,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/MCGREGOR_CONOR_L_07-10.png?itok=xbg9Kwfj,34,74,69,156,fighter
Dan Hooker,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/HOOKER_DAN_L_07-08.png?itok=d86yMntO,33,75,72,155.5,fighter
Ilia Topuria,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/TOPURIA_ILIA_L_12-10.png?itok=o4BlqTxX,26,69,67,164,fighter
Brad Riddell,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/14008ba7-e7c2-4b34-a19d-de0e06826f82%252FRIDDELL_BRAD_L_07-02.png?itok=eaBjtKhc,31,71,67,155.6,fighter
Gregor Gillespie,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/68048%252Fprofile-galery%252Ffullbodyleft-picture%252FGILLESPIE_GREGOR_L_05-08.png?itok=DSEehmqR,36,71,67,156,fighter
Jalin Turner,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/TURNER_JALIN_L_07-08.png?itok=ElwNVvdQ,28,77,75,176,fighter
